Gene Group 1	Enrichment Score: 1.766052435120772
ENSEMBL_GENE_ID	Gene Name
SinmeB_0993	30S ribosomal protein S17(rpsQ)
SinmeB_0992	50S ribosomal protein L29(rpmC)
SinmeB_0991	50S ribosomal protein L16(rplP)
SinmeB_0759	50S ribosomal protein L9(rplI)
SinmeB_0990	30S ribosomal protein S3(rpsC)
SinmeB_0989	50S ribosomal protein L22(rplV)
SinmeB_0987	50S ribosomal protein L2(rplB)
SinmeB_1006	30S ribosomal protein S13(rpsM)
SinmeB_3014	30S ribosomal protein S16(rpsP)
SinmeB_0980	30S ribosomal protein S7(rpsG)
SinmeB_1002	50S ribosomal protein L30(rpmD)
SinmeB_1001	30S ribosomal protein S5(rpsE)
SinmeB_1878	30S ribosomal protein S21(rpsU)
SinmeB_1000	50S ribosomal protein L18(rplR)
SinmeB_0974	50S ribosomal protein L7/L12(rplL)
	
Gene Group 2	Enrichment Score: 0.9756565524399778
ENSEMBL_GENE_ID	Gene Name
SinmeB_0804	molybdopterin oxidoreductase family protein(SM2011_RS20315)
SinmeB_2835	formate dehydrogenase subunit alpha(fdhF)
SinmeB_6178	periplasmic nitrate reductase subunit alpha(napA)
SinmeB_2275	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA(preA)
	
Gene Group 3	Enrichment Score: 0.9235383194514833
ENSEMBL_GENE_ID	Gene Name
SinmeB_6209	U32 family peptidase(SM2011_RS03520)
SinmeB_2275	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA(preA)
SinmeB_1037	L-serine ammonia-lyase(SM2011_RS21510)
SinmeB_3001	aconitate hydratase AcnA(acnA)
SinmeB_2837	NADH-quinone oxidoreductase subunit NuoF(SM2011_RS29720)
SinmeB_2433	FAD-dependent oxidoreductase(SM2011_RS27610)
SinmeB_0309	phosphogluconate dehydratase(edd)
SinmeB_2405	ferredoxin family protein(SM2011_RS27470)
SinmeB_0452	PA0069 family radical SAM protein(SM2011_RS18595)
	
Gene Group 4	Enrichment Score: 0.606850255358622
ENSEMBL_GENE_ID	Gene Name
SinmeB_2898	succinate dehydrogenase, hydrophobic membrane anchor protein(sdhD)
SinmeB_0591	cytochrome c(SM2011_RS19295)
SinmeB_3199	APC family permease(SM2011_RS14805)
SinmeB_6176	cytochrome c3 family protein(SM2011_RS03360)
SinmeB_2344	cytochrome c family protein(SM2011_RS27175)
SinmeB_4491	cytochrome c family protein(SM2011_RS07440)
SinmeB_4272	cytochrome c(SM2011_RS08540)
	
Gene Group 5	Enrichment Score: 0.5358420531363639
ENSEMBL_GENE_ID	Gene Name
SinmeB_2272	sugar ABC transporter substrate-binding protein(SM2011_RS26810)
SinmeB_2088	ABC transporter substrate-binding protein(SM2011_RS25905)
SinmeB_1741	ABC transporter substrate-binding protein(SM2011_RS24195)
SinmeB_0302	ABC transporter substrate-binding protein(SM2011_RS17840)
SinmeB_1867	TRAP transporter substrate-binding protein(SM2011_RS24805)
SinmeB_4291	extracellular solute-binding protein(SM2011_RS08450)
SinmeB_4668	sugar ABC transporter substrate-binding protein(SM2011_RS06585)
	
Gene Group 6	Enrichment Score: 0.4718874223058806
ENSEMBL_GENE_ID	Gene Name
SinmeB_0279	flagellin C(SM2011_RS17725)
SinmeB_0278	flagellin(SM2011_RS17720)
SinmeB_0277	flagellin(SM2011_RS17715)
SinmeB_0286	flagellar hook protein FlgE(flgE)
	
Gene Group 7	Enrichment Score: 0.419472901722296
ENSEMBL_GENE_ID	Gene Name
SinmeB_6355	NADH-quinone oxidoreductase subunit J(SM2011_RS04245)
SinmeB_2477	TlpA family protein disulfide reductase(SM2011_RS27865)
SinmeB_1901	NAD(P)/FAD-dependent oxidoreductase(SM2011_RS24970)
SinmeB_2819	xanthine dehydrogenase family protein molybdopterin-binding subunit(SM2011_RS29620)
	
Gene Group 8	Enrichment Score: 0.4010502215091504
ENSEMBL_GENE_ID	Gene Name
SinmeB_2860	F0F1 ATP synthase subunit epsilon(SM2011_RS29835)
SinmeB_1160	ABC transporter ATP-binding protein(SM2011_RS22110)
SinmeB_3298	ATP-binding cassette domain-containing protein(SM2011_RS15310)
SinmeB_2854	manganese/iron ABC transporter ATP-binding protein(SM2011_RS29805)
SinmeB_0915	ABC transporter ATP-binding protein(SM2011_RS20885)
SinmeB_1638	ABC transporter ATP-binding protein(SM2011_RS23995)
SinmeB_2758	molybdenum ABC transporter ATP-binding protein(modC)
SinmeB_2044	ABC transporter ATP-binding protein(SM2011_RS25685)
SinmeB_4802	sugar ABC transporter ATP-binding protein(SM2011_RS13590)
SinmeB_3622	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC(ugpC)
SinmeB_2089	ABC transporter ATP-binding protein(SM2011_RS25910)
SinmeB_4473	CbbX protein(cbbX)
SinmeB_1582	ABC transporter ATP-binding protein(SM2011_RS23720)
SinmeB_1483	Fe-S cluster assembly ATPase SufC(sufC)
SinmeB_2327	ABC transporter ATP-binding protein(SM2011_RS27090)
SinmeB_4967	ABC transporter ATP-binding protein(SM2011_RS12790)
SinmeB_5659	AAA family ATPase(SM2011_RS05685)
SinmeB_4388	ABC transporter ATP-binding protein(SM2011_RS07950)
SinmeB_1571	ABC transporter ATP-binding protein/permease(SM2011_RS23660)
SinmeB_1570	ABC transporter ATP-binding protein/permease(SM2011_RS23655)
SinmeB_0744	ABC transporter ATP-binding protein/permease(SM2011_RS20025)
SinmeB_0442	Mrp/NBP35 family ATP-binding protein(SM2011_RS18545)
SinmeB_3127	sugar ABC transporter ATP-binding protein(SM2011_RS14415)
SinmeB_1416	ABC transporter ATP-binding protein(SM2011_RS22870)
SinmeB_2257	heme ABC transporter ATP-binding protein(SM2011_RS26745)
SinmeB_2864	F0F1 ATP synthase subunit delta(SM2011_RS29855)
SinmeB_3605	ABC transporter ATP-binding protein/permease(SM2011_RS11895)
	
Gene Group 9	Enrichment Score: 0.36139017968393367
ENSEMBL_GENE_ID	Gene Name
SinmeB_4424	zinc-binding dehydrogenase(SM2011_RS07770)
SinmeB_1750	zinc-binding dehydrogenase(SM2011_RS24240)
SinmeB_0496	zinc-dependent alcohol dehydrogenase family protein(SM2011_RS18820)
SinmeB_0584	zinc-dependent alcohol dehydrogenase family protein(SM2011_RS19260)
	
Gene Group 10	Enrichment Score: 0.3460888420079025
ENSEMBL_GENE_ID	Gene Name
SinmeB_1826	hypothetical protein(SM2011_RS24600)
SinmeB_0669	DUF2147 domain-containing protein(SM2011_RS19645)
SinmeB_0861	polysaccharide export protein(SM2011_RS20595)
SinmeB_2251	energy transducer TonB(SM2011_RS26715)
SinmeB_1797	BA14K family protein(SM2011_RS24455)
SinmeB_0085	RidA family protein(SM2011_RS16600)
SinmeB_3255	tetratricopeptide repeat protein(SM2011_RS15080)
SinmeB_2344	cytochrome c family protein(SM2011_RS27175)
SinmeB_0964	hypothetical protein(SM2011_RS21130)
SinmeB_3248	type II and III secretion system protein family protein(SM2011_RS15045)
SinmeB_3244	pilus assembly protein N-terminal domain-containing protein(SM2011_RS15025)
SinmeB_1524	hypothetical protein(SM2011_RS23435)
	
Gene Group 11	Enrichment Score: 0.3432459335513369
ENSEMBL_GENE_ID	Gene Name
SinmeB_4916	sigma-70 family RNA polymerase sigma factor(SM2011_RS13040)
SinmeB_3028	RNA polymerase factor sigma-32(SM2011_RS30985)
SinmeB_2663	RNA polymerase sigma factor(SM2011_RS28805)
SinmeB_2261	RNA polymerase sigma factor(SM2011_RS26765)
	
Gene Group 12	Enrichment Score: 0.3261678413790644
ENSEMBL_GENE_ID	Gene Name
SinmeB_3804	peptide ABC transporter substrate-binding protein(SM2011_RS10920)
SinmeB_1763	ABC transporter substrate-binding protein(SM2011_RS24305)
SinmeB_0235	rhamnose ABC transporter substrate-binding protein(rhaS)
SinmeB_4557	ABC transporter substrate-binding protein(SM2011_RS07115)
	
Gene Group 13	Enrichment Score: 0.32153682704485553
ENSEMBL_GENE_ID	Gene Name
SinmeB_2268	L-iditol 2-dehydrogenase(SM2011_RS26790)
SinmeB_0438	SDR family oxidoreductase(SM2011_RS18525)
SinmeB_1592	SDR family oxidoreductase(SM2011_RS23770)
SinmeB_5501	SDR family oxidoreductase(SM2011_RS00525)
SinmeB_4924	SDR family oxidoreductase(SM2011_RS13000)
	
Gene Group 14	Enrichment Score: 0.2623828198452052
ENSEMBL_GENE_ID	Gene Name
SinmeB_3150	two-component system response regulator ChvI(chvI)
SinmeB_4499	hybrid sensor histidine kinase/response regulator(SM2011_RS07400)
SinmeB_0635	two-component system response regulator FeuP(feuP)
SinmeB_6173	response regulator FixJ(fixJ)
SinmeB_2263	PhyR-type response regulator RsiB1(rsiB1)
SinmeB_5456	response regulator(SM2011_RS00310)
SinmeB_6625	response regulator(SM2011_RS04635)
SinmeB_6358	response regulator transcription factor(SM2011_RS04260)
SinmeB_0643	response regulator transcription factor(SM2011_RS19530)
	
Gene Group 15	Enrichment Score: 0.24193311018753727
ENSEMBL_GENE_ID	Gene Name
SinmeB_3584	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase(thiD)
SinmeB_1559	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase(folK)
SinmeB_0437	2-dehydro-3-deoxygalactonokinase(SM2011_RS18520)
SinmeB_4468	phosphoribulokinase(SM2011_RS07550)
	
Gene Group 16	Enrichment Score: 0.22003383625158704
ENSEMBL_GENE_ID	Gene Name
SinmeB_4801	ABC transporter permease(SM2011_RS13595)
SinmeB_1031	magnesium transporter(mgtE)
SinmeB_3087	MFS transporter(SM2011_RS31310)
SinmeB_0636	two-component system sensor histidine kinase FeuQ(feuQ)
SinmeB_4499	hybrid sensor histidine kinase/response regulator(SM2011_RS07400)
SinmeB_3078	phosphatase PAP2 family protein(SM2011_RS31265)
SinmeB_0620	hypothetical protein(SM2011_RS19445)
SinmeB_4521	ABC transporter permease(SM2011_RS07290)
SinmeB_5069	ABC transporter permease(SM2011_RS05125)
SinmeB_1004	preprotein translocase subunit SecY(secY)
SinmeB_1961	DUF1772 domain-containing protein(SM2011_RS25270)
SinmeB_0602	hemolysin III family protein(SM2011_RS19350)
SinmeB_3311	sulfate transporter family protein(SM2011_RS15375)
SinmeB_3052	OpgC family protein(SM2011_RS31130)
SinmeB_2348	heme-copper oxidase subunit III family protein(SM2011_RS27195)
SinmeB_2728	HlyD family secretion protein(SM2011_RS29130)
SinmeB_2347	cytochrome c oxidase subunit 3(SM2011_RS27190)
SinmeB_2727	DHA2 family efflux MFS transporter permease subunit(SM2011_RS29125)
SinmeB_3301	sugar ABC transporter permease(SM2011_RS15325)
SinmeB_2346	cytochrome c oxidase subunit I(ctaD)
SinmeB_3726	cytochrome c oxidase assembly protein(SM2011_RS11305)
SinmeB_3300	carbohydrate ABC transporter permease(SM2011_RS15320)
SinmeB_2345	cytochrome c oxidase subunit II(SM2011_RS27180)
SinmeB_3046	amino acid ABC transporter permease(SM2011_RS31085)
SinmeB_3734	DUF2231 domain-containing protein(SM2011_RS11265)
SinmeB_3043	MFS transporter(SM2011_RS31065)
SinmeB_3739	TRAP transporter small permease(SM2011_RS11240)
SinmeB_3740	TRAP transporter large permease(SM2011_RS11235)
SinmeB_2712	tellurite resistance TerB family protein(SM2011_RS29050)
SinmeB_5525	MFS transporter(SM2011_RS00630)
SinmeB_0166	CAP domain-containing protein(SM2011_RS17085)
SinmeB_0163	YitT family protein(SM2011_RS17070)
SinmeB_5502	hypothetical protein(SM2011_RS00530)
SinmeB_3004	heme ABC transporter permease(SM2011_RS30865)
SinmeB_3252	type II secretion system F family protein(SM2011_RS15065)
SinmeB_0934	DUF6105 family protein(SM2011_RS20980)
SinmeB_4601	hypothetical protein(SM2011_RS06905)
SinmeB_3788	phosphoethanolamine transferase(SM2011_RS11000)
SinmeB_3243	pilus assembly protein(SM2011_RS15015)
SinmeB_3794	ABC transporter permease(SM2011_RS10970)
SinmeB_1415	ABC transporter permease(SM2011_RS22865)
SinmeB_1414	ABC transporter permease(SM2011_RS22860)
SinmeB_2271	sugar ABC transporter permease(SM2011_RS26805)
SinmeB_0516	cytochrome c oxidase subunit II(coxB)
SinmeB_2270	carbohydrate ABC transporter permease(SM2011_RS26800)
SinmeB_0131	phosphate ABC transporter permease subunit PstC(pstC)
SinmeB_3803	oligopeptide ABC transporter permease OppB(oppB)
SinmeB_5473	EAL domain-containing protein(SM2011_RS00375)
SinmeB_5472	AI-2E family transporter(SM2011_RS00370)
SinmeB_3809	acyltransferase(SM2011_RS10895)
SinmeB_0910	DUF1467 family protein(SM2011_RS20855)
SinmeB_2259	hypothetical protein(SM2011_RS26755)
SinmeB_2258	DUF883 family protein(SM2011_RS26750)
SinmeB_2257	heme ABC transporter ATP-binding protein(SM2011_RS26745)
SinmeB_2256	iron ABC transporter permease(SM2011_RS26740)
SinmeB_2967	ABC transporter permease(SM2011_RS30690)
SinmeB_6616	HdeD family acid-resistance protein(SM2011_RS04590)
SinmeB_6614	DUF1269 domain-containing protein(SM2011_RS04580)
SinmeB_2251	energy transducer TonB(SM2011_RS26715)
SinmeB_2961	DNA translocase FtsK(SM2011_RS30660)
SinmeB_4639	tripartite tricarboxylate transporter permease(SM2011_RS06730)
SinmeB_3211	APC family permease(SM2011_RS14865)
SinmeB_4640	tripartite tricarboxylate transporter TctB family protein(SM2011_RS06725)
SinmeB_1851	FecR family protein(SM2011_RS24720)
SinmeB_3202	hypothetical protein(SM2011_RS14820)
SinmeB_3199	APC family permease(SM2011_RS14805)
SinmeB_2947	hypothetical protein(SM2011_RS30585)
SinmeB_0112	ABC transporter permease(SM2011_RS16735)
SinmeB_0108	DoxX family protein(SM2011_RS16715)
SinmeB_4666	carbohydrate ABC transporter permease(SM2011_RS06595)
SinmeB_4667	sugar ABC transporter permease(SM2011_RS06590)
SinmeB_2217	DUF2333 family protein(SM2011_RS26540)
SinmeB_2208	ATP-dependent Clp protease proteolytic subunit(SM2011_RS26500)
SinmeB_2204	anti-sigma factor(SM2011_RS26470)
SinmeB_0080	methyl-accepting chemotaxis protein(SM2011_RS16570)
SinmeB_5366	sulfite exporter TauE/SafE family protein(SM2011_RS06480)
SinmeB_0075	DUF1269 domain-containing protein(SM2011_RS16550)
SinmeB_0448	F0F1 ATP synthase subunit C(SM2011_RS18575)
SinmeB_5390	formate dehydrogenase subunit gamma(SM2011_RS00020)
SinmeB_1797	BA14K family protein(SM2011_RS24455)
SinmeB_6355	NADH-quinone oxidoreductase subunit J(SM2011_RS04245)
SinmeB_6354	NADH-quinone oxidoreductase subunit NuoK(nuoK)
SinmeB_1261	protein-S-isoprenylcysteine O-methyltransferase(SM2011_RS22415)
SinmeB_5344	MFS transporter(SM2011_RS06375)
SinmeB_4301	TRAP transporter small permease(SM2011_RS08400)
SinmeB_4302	TRAP transporter large permease(SM2011_RS08395)
SinmeB_0827	DMT family transporter(SM2011_RS20425)
SinmeB_1248	tetracycline resistance MFS efflux pump(SM2011_RS22360)
SinmeB_1765	ABC transporter permease(SM2011_RS24315)
SinmeB_1764	ABC transporter permease(SM2011_RS24310)
SinmeB_0818	MFS transporter(SM2011_RS20385)
SinmeB_5836	carbohydrate ABC transporter permease(SM2011_RS01945)
SinmeB_3128	ABC transporter permease(SM2011_RS14420)
SinmeB_2153	hypothetical protein(SM2011_RS26225)
SinmeB_4328	efflux RND transporter periplasmic adaptor subunit(SM2011_RS08260)
SinmeB_1740	sugar ABC transporter permease(SM2011_RS24190)
SinmeB_0017	LPS export ABC transporter periplasmic protein LptC(lptC)
SinmeB_4349	carbohydrate ABC transporter permease(SM2011_RS08155)
SinmeB_2898	succinate dehydrogenase, hydrophobic membrane anchor protein(sdhD)
SinmeB_0380	DUF1127 domain-containing protein(SM2011_RS18225)
SinmeB_0376	dienelactone hydrolase family protein(SM2011_RS18205)
SinmeB_1162	Sec-independent protein translocase protein TatB(tatB)
SinmeB_3948	sulfate ABC transporter permease subunit CysT(cysT)
SinmeB_1650	hypothetical protein(SM2011_RS24045)
SinmeB_5733	DUF2189 domain-containing protein(SM2011_RS01685)
SinmeB_2501	VUT family protein(SM2011_RS27980)
SinmeB_0356	hypothetical protein(SM2011_RS18110)
SinmeB_0355	hypothetical protein(SM2011_RS18105)
SinmeB_0354	MgtC/SapB family protein(SM2011_RS18100)
SinmeB_1144	TonB system transport protein ExbD(exbD)
SinmeB_1637	ABC transporter permease(SM2011_RS23990)
SinmeB_1636	TIGR02281 family clan AA aspartic protease(SM2011_RS23985)
SinmeB_2864	F0F1 ATP synthase subunit delta(SM2011_RS29855)
SinmeB_4387	ABC transporter permease(SM2011_RS07955)
SinmeB_2485	hypothetical protein(SM2011_RS27905)
SinmeB_2091	ABC transporter permease(SM2011_RS25920)
SinmeB_2860	F0F1 ATP synthase subunit epsilon(SM2011_RS29835)
SinmeB_2090	ABC transporter permease(SM2011_RS25915)
SinmeB_1131	phosphatidate cytidylyltransferase(SM2011_RS21970)
SinmeB_0744	ABC transporter ATP-binding protein/permease(SM2011_RS20025)
SinmeB_1624	DUF2270 domain-containing protein(SM2011_RS23925)
SinmeB_2856	metal ABC transporter permease(SM2011_RS29815)
SinmeB_2855	metal ABC transporter permease(SM2011_RS29810)
SinmeB_0741	EamA family transporter RarD(rarD)
SinmeB_0329	PAS domain S-box protein(SM2011_RS17975)
SinmeB_2847	DUF2160 domain-containing protein(SM2011_RS29770)
SinmeB_2845	sugar ABC transporter permease(SM2011_RS29760)
SinmeB_3592	succinoglycan biosynthesis protein ExoH(exoH)
SinmeB_4728	DoxX family protein(SM2011_RS13995)
SinmeB_3605	ABC transporter ATP-binding protein/permease(SM2011_RS11895)
SinmeB_0715	MFS transporter(SM2011_RS19885)
SinmeB_4752	ABC transporter permease(SM2011_RS13870)
SinmeB_1583	ABC transporter permease(SM2011_RS23725)
SinmeB_4442	phage holin family protein(SM2011_RS07680)
SinmeB_2038	amino acid permease(SM2011_RS25655)
SinmeB_1571	ABC transporter ATP-binding protein/permease(SM2011_RS23660)
SinmeB_1570	ABC transporter ATP-binding protein/permease(SM2011_RS23655)
SinmeB_1069	preprotein translocase subunit SecG(secG)
SinmeB_2017	serine hydrolase(SM2011_RS25545)
SinmeB_6176	cytochrome c3 family protein(SM2011_RS03360)
SinmeB_1052	membrane protein insertion efficiency factor YidD(yidD)
SinmeB_4477	ABC transporter permease(SM2011_RS07505)
SinmeB_2403	ABC transporter permease(SM2011_RS27460)
SinmeB_3355	YdcF family protein(SM2011_RS15595)
SinmeB_2401	MFS transporter(SM2011_RS27450)
SinmeB_0648	DMT family transporter(SM2011_RS19555)
SinmeB_4794	tripartite tricarboxylate transporter permease(SM2011_RS13630)
SinmeB_4795	tripartite tricarboxylate transporter TctB family protein(SM2011_RS13625)
SinmeB_0646	ATP-binding protein(SM2011_RS19545)
SinmeB_0644	HAMP domain-containing histidine kinase(SM2011_RS19535)
SinmeB_1996	aquaporin Z(aqpZ)
	
Gene Group 17	Enrichment Score: 0.21298655526991425
ENSEMBL_GENE_ID	Gene Name
SinmeB_1485	cysteine desulfurase(SM2011_RS23240)
SinmeB_1481	cysteine desulfurase(SM2011_RS23220)
SinmeB_1756	threonine-phosphate decarboxylase CobD(cobD)
SinmeB_2817	5-aminolevulinate synthase(hemA)
	
Gene Group 18	Enrichment Score: 0.20937016366958802
ENSEMBL_GENE_ID	Gene Name
SinmeB_3791	CerR family C-terminal domain-containing protein(SM2011_RS10985)
SinmeB_0564	transcriptional regulator BetI(betI)
SinmeB_2279	HTH-type transcriptional regulator RutR(rutR)
SinmeB_3224	TetR family transcriptional regulator(SM2011_RS14930)
SinmeB_4327	TetR family transcriptional regulator(SM2011_RS08265)
	
Gene Group 19	Enrichment Score: 0.1493950050636525
ENSEMBL_GENE_ID	Gene Name
SinmeB_6301	FadR family transcriptional regulator(SM2011_RS03970)
SinmeB_5486	GntR family transcriptional regulator(SM2011_RS00445)
SinmeB_0564	transcriptional regulator BetI(betI)
SinmeB_0439	IclR family transcriptional regulator(SM2011_RS18530)
SinmeB_4440	LacI family transcriptional regulator(SM2011_RS07690)
SinmeB_4846	LacI family transcriptional regulator(SM2011_RS13375)
SinmeB_1440	IclR family transcriptional regulator(SM2011_RS22980)
SinmeB_2725	LacI family DNA-binding transcriptional regulator(SM2011_RS29115)
	
Gene Group 20	Enrichment Score: 0.11674199297054993
ENSEMBL_GENE_ID	Gene Name
SinmeB_3317	AraC family transcriptional regulator(SM2011_RS15410)
SinmeB_3521	AraC family transcriptional regulator(SM2011_RS12310)
SinmeB_0752	AraC family transcriptional regulator(SM2011_RS20065)
SinmeB_2046	AraC family transcriptional regulator(SM2011_RS25695)
